name,Gestellt am,Typ,Bearbeitungsfrist,Aktuelle Fristverlängerung,Art,Status,Gestellt von,Zuständiges Referat,Erledigt am,document_link,document_content
StR-Antrag 20-26 / A 04524 Schulschwimmbäder in den Ferien für Schwimmkurse öffnen!,2024-01-03,Antrag,03.07.2024,30.11.2024,Öffentlicher Vorgang,Erledigt,"Frau StRin Alexandra Gaßmann, Frau StRin Ulrike Grimm",Referat für Bildung und Sport,04.12.2024,https://risi.muenchen.de/risi/./dokument/v/8197611," CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu-fw-fraktion@muenchen.de 
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München  
 
 
 
ANTRAG 
 
An Herrn  
Oberbürgermeister  
Dieter Reiter  
 
Rathaus, Marienplatz 8, 80331 München 
 
 
         
               03.01.2024   
 
Schulschwimmbäder in den Ferien für Schwimmkurse öffnen! 
 
Das Referat für Bildung und Sport wird gebeten, die Schwimmbecken und -hallen der städti-
schen Schulen in den Schulferien für Schwimmkurse zu öffnen. Dabei soll der Versuch unter-
nommen werden in Zusammenarbeit mit den Schwimmvereinen, der DLRG und der Bayerischen 
Wasserwacht möglichst viel Angebote machen zu können. 
 
Begründung     
 
Laut der neuesten Umfrage zur Schwimmfähigkeit aus dem Jahr 2022 (Forsa, im Auftrag der 
DLRG) können 20% der Kinder in Deutschland nicht schwimmen, weitere 23% der Alters-
gruppe geben an, unsichere Schwimmer zu sein. Dies ist eine beunruhigende Zahl, die es drin-
gend zu verändern gilt. Deswegen sollen gerade nicht genutzte Schwimmbecken und – hallen 
in den städtischen Schulen auch in den Ferien geöffnet werden, um Schwimmvereinen, DLRG 
und Wasserwacht eine Gelegenheit zu geben, Kinder das Schwimmen beizubringen. 
 
 
Alexandra Gaßmann (Initiative)    Ulrike Grimm     
Stadträtin       Stadträtin     
   
"
StR-Antrag 20-26 / A 04525 Abschaffung der Sportgaststätten stoppen!,2024-01-08,Antrag,08.07.2024,31.12.2025,Öffentlicher Vorgang,Sitzungsvorlage,"Frau StRin Ulrike Grimm, Herr StR Manuel Pretzl, Herr StR Jens Luther, Herr StR Fabian Ewald, Frau StRin Beatrix Burkhardt, Frau StRin Alexandra Gaßmann, Frau StRin Sabine Bär, Herr StR Hans-Peter Mehling",Referat für Bildung und Sport,,https://risi.muenchen.de/risi/./dokument/v/8203227," CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu -fw-fraktion@muenchen.de 
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München  
 
 
 
ANTRAG 
 
An Herrn  
Oberbürgermeister  
Dieter Reiter  
 
Rathaus, Marienplatz 8, 80331 München 
 
 
         
             08.01.2024 
 
Abschaffung der Sportgaststätten stoppen! 
 
Das Referat für Bildung und Sport wird aufgefordert, den Weiterbetrieb von Sportgaststätten an 
den Bezirkssportanlagen zu ermöglichen. Das Vorhaben , die gastronomischen Flächen an den 
Sportanlagen der Stadt  im Rahmen von Sanierungs - und Neubauvorhaben  grundsätzlich 
ersatzlos zu streichen , wird aufgegeben. Stattdessen soll zusammen mit den ansässigen 
Vereinen und Gastronomen jeweils das Verhältnis  von Räumen für sportliche Nutzung versus 
Gaststätte abgestimmt werden, um gemeinsame Lösungen für die jeweiligen Standorte zu 
finden. Die Ergebnisse sind dem Stadtrat vor Beginn der Baumaßnahmen darzustellen. 
 
Begründung     
 
In der letzten V ollversammlung im November 2023 hat der Münchner Stadtrat die 
Fortschreibung des Sportbauprogramm es beschlossen. Künftig soll auf Vereinsgaststätten 
verzichtet werden, um auf diesen freiwerdenden Flächen für die Vereine mehr Umkleiden, 
Gymnastikräume, Duschen und einen Gemeinschaftsraum mit Kioskküche zu ermöglichen. Dies 
stößt jedoch auf erheblichen Widerstand bei den betroffenen Vereinen. Auch stehen teilweise 
die Gastronomen der gut laufenden Gaststätten, die auch in den jeweiligen Stadtteilen einen 
wichtigen Teil der gastronomischen Vielfallt darstellen, vor dem existenziellen Aus.  Deshalb ist 
es für alle weiteren Entsche idungen des Stadtrates unerlässlich, eine genaue Grundlage zu 
erhalten, das Vereinsleben und ein gutes Miteinander im Sport zu ermöglichen. 
 
Ulrike Grimm   Manuel Pretzl    Jens Luther 
Stadträtin    Fraktionsvorsitzender   Stadtrat 
 
Fabian Ewald    Beatrix Burkhardt    Alexandra Gassmann 
Stadtrat    Stadträtin    Stadträtin 
 
Sabine Bär    Hans-Peter Mehling 
Stadträtin   Stadtrat 
"
"StR-Antrag 20-26 / A 04533 Übergangsweise Härtefallregelung für Münchner Träger von Kindertageseinrichtungen, die 
an der M...",2024-01-09,Änderungsantrag,09.01.2024,,Öffentlicher Vorgang,Erledigt,"Münchner Trichter, Israelitische Kultusgemeinde München, Obb, KJR München Stadt, Caritas, Bayerisches RK und AG der freien Wohlfahrtsverbände München, Arbeitsgemeinschaft der freien Wohlfahrtspflege München, Paritätischer Wohlfahrtsverband, LV Bayern",Sozialreferat,09.01.2024,https://risi.muenchen.de/risi/./dokument/v/8207728,
StR-Antrag 20-26 / A 04530 Die Münchner Quellen und Quellbäche besser schützen,2024-01-09,Antrag,09.07.2024,31.12.2024,Öffentlicher Vorgang,Erledigt,"SPD / Volt - Fraktion, Fraktion Die Grünen - Rosa Liste",Referat für Klima- und Umweltschutz,02.10.2024,https://risi.muenchen.de/risi/./dokument/v/8206249,"Herrn
Oberbürgermeister
Dieter Reiter
Rathaus
Die Münchner Quellen und Quellbäche besser schützen
ANTRAG
Das  Referat  für  Klima-  und  Umweltschutz  wird  mit  dem  Baureferat  aufgefordert, 
geeignete Maßnahmen zum Schutz der Münchner Quellbäche und Quellen zu prüfen  
und umzusetzen. Im Vordergrund soll vor allem der Schutz der Quellen der Isarleiten,  
der  Oberföhringer  Isarinsel  und  der  Brunnbach  mit  Quellzuläufen  stehen.  Geprüft 
werden sollen folgende Maßnahmen: 
 die gesetzliche Unterschutzstellung als Naturdenkmal oder geschützter 
Landschaftsbestandteil,
 besucher*innenlenkende Maßnahmen und Bereitstellung von Informationen 
bspw. durch Informationstafeln, ggf. soll das Verlegen von Wegen geprüft 
werden,
 ökologische Aufwertungen wie Pflanzungen, Entfernen von Verrohrungen und 
nicht notwendigen Quellfassungen. 
BEGRÜNDUNG
Die  Quellen  im  Münchener  Stadtgebiet  sind  zunehmend  durch  sinkende  
Grundwasserstände  und  ungeregelte  Besucher*innennutzung  bedroht.  Die  
Quellbereiche  sind  oft  sehr  klein  und  können  durch  Betreten  und  Befahren  stark 
geschädigt werden – eine Gefahr, die mit geeignet-en Schutzmaßnahmen verringert  
werden  kann.  Zur  kommunalen  Daseinsvorsorge  zählt  an  oberster  Stelle  die 
Versorgung mit sauberem Trinkwasser. Münchens Versorgung mit Trinkwas-ser wird  
derzeit mit Quellen außerhalb der Stadtgrenzen sichergestellt. Der Schutz und die  
Fürsorge für Quellen auf Münchner Stadtgebiet ist zudem unabdingbar. Die Quellen im  
Stadt-gebiet weisen nach wie vor Trinkwasserqualität auf und stellen somit nicht nur  
eine wichtige Umweltressource dar, sondern haben auch einen positiven Effekt auf das  
Wohlbefinden der Menschen. Darüber hinaus bilden die Münchner Quellbäche und  
Quellen  als  wertvolle  Biotope  einen  wichtigen  Lebensraum  für  eine  vielfältige 
Lebenswelt,  die  auf  den  Schutz  der  Quellen  und  den  Erhalt  der  Wasserqualität 
angewiesen ist.
   
SPD/Volt-Fraktion Fraktion Die Grünen – Rosa Liste
Dr. Julia Schmitt-Thiel Mona Fuchs
Anne Hübner Florian Schönemann
Marian Offman Anna Hanusch
Andreas Schuster Dr. Florian Roth
Felix Sproll Ursula Harper
Gunda Krauss
Mitglieder des Stadtrates Mitglieder des Stadtrates
München, 09,01,2024
A N T R A G"
StR-Antrag 20-26 / A 04529 Grünflächen schützen: Feuerwerk in Grünanlagen unterbinden,2024-01-09,Antrag,09.07.2024,16.09.2024,Öffentlicher Vorgang,Erledigt,Fraktion ÖDP/München-Liste,Kreisverwaltungsreferat,09.08.2024,https://risi.muenchen.de/risi/./dokument/v/8206202,"Seite 6 Antrag der Fraktion ÖDP/München-Liste: Grünflächen schützen: Feuerwerk in Grünanlagen unterbinden 
 
Fraktion Ökologisch-Demokratische Partei/München-Liste des Stadtrates 
der Landeshauptstadt München (Fraktion ÖDP/München-Liste) 
Rathaus, Marienplatz 8 ● Zimmer 116-118 ● 80331 München 
Telefon: 089 / 233 - 26922 ● E-Mail: oedp-ml-fraktion@muenchen.de 
Die Vermeidung der Beeinträchtigung der Funktionsfähigkeit einer öffentlichen Einrichtung bzw. 
öffentlichen Sache ist ebenso ein sachlicher Grund, wie die Vermeidung von Kosten für 
Instandhaltung und Unterhalt einer öffentlichen Einrichtung bzw. öffentlichen Sache. 
 
Gemäß § 1 Abs. 1 Grünanlagensatzung sind diese für Erholungs- und Freizeitzwecke der 
Allgemeinheit freigegeben. Im Rahmen dieser Gemeingebrauchsnutzung dürfen gemäß § 2 Abs. 1 
Satz 1 Grünanlagensatzung die Grünanlagen nicht beschädigt werden und andere nicht mehr als 
vermeidbar belästigt werden. Gemäß Art. 57 Abs. 1 Satz 1 letzter Halbsatz GO sind bei Schaffung 
und Erhaltung öffentlicher Einrichtungen die Belange des Natur- und Umweltschutzes zu 
berücksichtigen.27 In diesem Sinne anerkennt die Satzung in Satz 1 ihrer Präambel, dass die 
Grünanlagen ökologische und klimatische Funktionen neben der vorrangigen Erholungs- und 
Freizeitfunktion haben. Gemäß Satz 2 der Präambel sind unterschiedliche, teils widerstreitende 
Nutzerinteressen einem gemeinwohlverträglichen Gesamtausgleich zuzuführen. 
 
Feuerwerk könnte in den Grünanlagen im Rahmen der Freizeitfunktion als Gemeingebrauch 
zulässig sein. Dabei sind bereits nach aktueller Rechtslage gemäß der Grünanlagensatzung eine 
Beschädigung der Grünanlagen, etwa mit Brandstellen in Folge der Zündung, und eine vermeidbare 
Belästigung anderer Menschen, etwa durch vorsätzliches oder fahrlässiges Zurücklassen von Müll, 
unzulässig. Selbst bei bestimmungsmäßigem Gebrauch kommt es allerdings zu unvermeidbaren 
Belästigungen anderer Menschen, besonders durch Lärm- und Lichtemissionen sowie 
Luftverschmutzung und herabfallende Raketenteile, die vor allem bei Dunkelheit oder Absturz in 
Gewässer vom Verursacher nicht mehr auffindbar sind. Diese unvermeidbaren Belästigungen 
beeinträchtigen vor allem die Erholungsfunktion, durch Luftverschmutzung und herumliegenden Müll 
auch noch nach dem Zeitpunkt des Feuerwerkes. Zu einem gemeinwohlverträglichen 
Gesamtausgleich zwischen den Nutzerinteressen der Freizeitfeuerwerker und der 
Erholungssuchenden könnte eine satzungsmäßige Beschränkung von Feuerwerk auf bestimmte 
Grundstücke in den Grünanlagen führen, wie dies die Stadt Amberg gemacht hat. 
 
Allerdings wird der in der Präambel der Satzung anerkannten ökologischen Funktion damit nur 
unzureichend Rechnung getragen, denn die Tierwelt wird überall in den Grünanlagen durch die 
Lärm- und Lichtimmissionen empfindlich gestört. Durch das im vergangenen Jahr mit einer sehr 
großen Anzahl an Unterstützerunterschriften eingereichte und von einer Stadtratsmehrheit 
übernommene Bürgerbegehren „Grünflächen erhalten“ wurde die Stadt aufgefordert alles zu 
unternehmen, damit die Grünanlagen vollumfänglich erhalten bleiben und damit auch in ihrer 
ökologischen Funktion nicht beeinträchtigt werden.28 
 
Zudem kann und soll, gerade auch in Anbetracht der aktuellen kritischen Haushaltssituation der 
Landeshauptstadt München, der Reinigungskostenaufwand für eine rückstandslose Reinigung der 
Grünanlagen vom Silvestermüll, insbesondere in den zahlreichen schwer zugänglichen Grünflächen 
und Gewässern, nicht von der Stadt und den Steuerzahlern weiterhin aufgebracht werden müssen.   
 
Es liegen also mehrere sachliche Gründe für die Aufnahme eines Feuerwerksverbotes in 
§ 2 Abs. 2 Nr. 13 Grünanlagensatzung vor. Dieses ist zudem verhältnismäßig und es können 
im Einzelfall nach § 3 Grünanlagensatzung Ausnahmegenehmigungen erteilt werden, z.B. für 
ein öffentliches Feuerwerk wie den Münchner „Sommernachtstraum“. Ein grundsätzliches 
Feuerwerksverbot in Grünanlagen dient dem vollumfänglichen Erhalt ihrer Erholungsfunktion 
und ihrer ökologischen Funktionen sowie dem fiskalischen Ziel der Vermeidung von 
Reinigungskosten für die Landeshauptstadt München und ihre Steuerzahler:innen. 
 
Tobias Ruff Nicola Holtmann  
Fraktionsvorsitzender, Stadtrat Umweltpolitische Sprecherin, Stadträtin 
 
Sonja Haider, Stadträtin Dirk Höpner, Stadtrat 
 
27 https://www.gesetze-bayern.de/Content/Document/BayGO-57 
28 https://www.gruenflaechen-erhalten.de/wp-content/uploads/2022/02/Unterschriftenliste.pdf 
 "
StR-Antrag 20-26 / A 04527 Städtischer Zuschuss Gemeinschaftsveranstaltung,2024-01-09,Antrag,09.07.2024,,Öffentlicher Vorgang,Erledigt,"Herr StR Alexander Reissl, Frau StRin Ulrike Grimm, Frau StRin Alexandra Gaßmann, Frau StRin Heike Kainz, Herr StR Leo Agerer, Herr StR Hans-Peter Mehling",Personal- und Organisationsreferat,03.07.2024,https://risi.muenchen.de/risi/./dokument/v/8206169," CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu-fw-fraktion@muenchen.de 
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München  
 
 
 
ANTRAG 
 
An Herrn  
Oberbürgermeister  
Dieter Reiter  
 
Rathaus, Marienplatz 8, 80331 München 
 
 
         
           09.01.2024 
 
Städtischer Zuschuss Gemeinschaftsveranstaltung 
 
Die Landeshauptstadt München erhöht für Gemeinschaftsveranstaltungen den Zuschuss auf 30 € pro 
Person. 
 
Begründung     
 
Die Stadt München gewährt seit vielen Jahren einen Zuschuss für Gemeinschaftsveranstaltungen. Das 
können Betriebsausflüge sein ebenso wie Feste von Referaten, Hauptabteilungen oder Abteilungen. 
Die Höhe beträgt 20 €. 
Diese Höhe ist seit Jahren unverändert, die allgemeinen Preise haben sich aber deutlich erhöht. 
 
 
Alexander Reissl (Initiative)  Ulrike Grimm   Alexandra Gaßmann 
Stadtrat    Stadträtin   Stadträtin 
 
Heike Kainz    Leo Agerer   Hans-Peter Mehling 
Stadträtin    Stadtrat   Stadtrat 
"
StR-Antrag 20-26 / A 04526 One-Stopp-Agency für die Pflege,2024-01-09,Antrag,09.07.2024,31.12.2024,Öffentlicher Vorgang,Erledigt,"Frau StRin Alexandra Gaßmann, Herr StR Prof. Dr. Hans Theiss, Herr StR Rudolf Schabl, Herr StR Hans-Peter Mehling, Herr StR Michael Dzeba, Frau StRin Sabine Bär, Herr StR Matthias Stadler, Herr StR Fritz Roth, Herr StR Prof. Dr. Jörg Hoffmann, Frau StRin Gabriele Neff, Herr StR Richard Progl",Sozialreferat,18.12.2024,https://risi.muenchen.de/risi/./dokument/v/8206148," CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu -fw-fraktion@muenchen.de 
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München  
 
 
Insbesondere muss dabei auch dringend die Gruppe der älter werdenden Migrantinnen und 
Migranten berücksichtigt und entsprechend beraten werden, denn i m Bereich Pflege ist es 
manchmal schon für einen Muttersprachler schwierig, die verwaltungstypische Terminologie zu 
verstehen.  
 
 
Stadtratsfraktion CSU mit FREIE WÄHLER  FDP BAYERNPARTEI Stadtratsfraktion 
Alexandra Gaßmann, Stadträtin    Fritz Roth, Stadtrat 
Prof. Dr. Hans Theiss, stv. Fraktionsvorsitzender  Prof. Dr. Jörg Hoffmann, Fraktionsvorsitzender 
Michael Dzeba, Stadtrat     Gabriele Neff, Stadträtin 
Sabine Bär, Stadträtin     Richard Progl, Stadtrat 
Matthias Stadler, Stadtrat 
Rudolf Schabl, Stadtrat 
Hans-Peter Mehling, Stadtrat "
StR-Antrag 20-26 / A 04531 Straßenbenennung,2024-01-09,Antrag,09.07.2024,20.09.2024,Öffentlicher Vorgang,Erledigt,FDP BAYERNPARTEI Stadtratsfraktion,Kommunalreferat,19.09.2024,https://risi.muenchen.de/risi/No pdf found,
"StR-Antrag 20-26 / A 04532 Übergangsweise Härtefallregelung für Münchner Träger von
Kindertageseinrichtungen, die an der 
...",2024-01-09,Änderungsantrag,09.01.2024,,Öffentlicher Vorgang,Erledigt,"SPD / Volt - Fraktion, Fraktion Die Grünen - Rosa Liste",Sozialreferat,09.01.2024,https://risi.muenchen.de/risi/./dokument/v/8206250," 
Herrn 
Oberbürgermeister 
Dieter Reiter 
Rathaus 
Beschluss des Kinder- und Jugendhilfeausschusses des Stadtrates vom 
09.01.2024 (VB) 
Öffentliche Sitzung, TOP 2 
 
Übergangsweise Härtefallregelung für Münchner Träger von 
Kindertageseinrichtungen, die an der Münchner Förderformel teilnehmen 
 
Sitzungsvorlage Nr. 20-26 / V 11998 
 
Änderungs-/Ergänzungsantrag 
 
Punkt 1 
geändert  
Das Referat für Bildung und Sport wird beauftragt, wie im Vortrag dargestellt für 
Kindertageseinrichtungen in der MFF für den Zeitraum 01.01.2024 bis 31.08.2024 
eine Härtefallhilfe zu gewähren. 
Eine Deckelung auf maximal 10 Prozent des kommunalen Anteils der 
BayKiBiG-Förderung je defizitäre MFF-Einrichtung entfällt. 
 
Anfallende Kosten für den prüfenden Dritten werden im Rahmen der 
Antragstellung auf die Härtefallhilfe berücksichtigt. Die Kostenerstattung für 
den prüfenden Dritten ist nur für den Erfolgsfall vorgesehen. 
Punkte 2 und 
3 
Wie im Antrag des Referenten 
 
 
SPD/Volt-Fraktion    Fraktion Die Grünen – Rosa Liste  
Lena Odell     Marion Lüttig 
Anne Hübner     Nimet Gökemenoĝlu 
Barbara Likus     Clara Nitsche 
Julia Schönfeld-Knor    Andreas Voßeler 
Katrin Abele     Anja Berger 
Cumali Naz     Sofie Langmeier 
      Sebastian Weisenburger  
Mitglieder des Stadtrates    Mitglieder des Stadtrates  
 
 "
StR-Antrag 20-26 / A 04528 Böllerverbot auch in dichtbesiedelten Gebieten außerhalb des Mittleren Rings,2024-01-09,Antrag,09.07.2024,16.09.2024,Öffentlicher Vorgang,Erledigt,Fraktion ÖDP/München-Liste,Kreisverwaltungsreferat,30.09.2024,https://risi.muenchen.de/risi/./dokument/v/8206189," 
 
Fraktion Ökologisch-Demokratische Partei/München-Liste des Stadtrates 
der Landeshauptstadt München (Fraktion ÖDP/München-Liste) 
Rathaus, Marienplatz 8 ● Zimmer 116-118 ● 80331 München 
Telefon: 089 / 233 - 26922 ● E-Mail: oedp-ml-fraktion@muenchen.de 
An den Oberbürgermeister 
der Landeshauptstadt München 
Herrn Dieter Reiter 
Rathaus, Marienplatz 8 
80331 München 
München, 09.01.2024 
Antrag: 
Böllerverbot auch in dichtbesiedelten Gebieten außerhalb des Mittleren Rings 
Die Stadtverwaltung wird gebeten, für Silvester 2024 und Neujahr 2025 auch in dichtbesiedelten 
Gebieten außerhalb des Mittleren Rings ein Böllerverbot zu erlassen. Als dichtbesiedelte Gebiete 
sind dabei neben dem Bereich innerhalb des Mittleren Rings alle Bereiche mit mehr als dreistöckiger 
Bebauung außerhalb des Mittleren Rings anzusehen, außer den im Flächennutzungsplan der 
Landeshauptstadt München als Gewerbe-, Industrie- und Sondergebiete ausgewiesenen Flächen. 
Begründung: 
 
Das Kreisverwaltungsreferat der Landeshauptstadt München hat, wie schon in den Vorjahren, über 
den Jahreswechsel 2023/2024 per Allgemeinverfügung ein Böllerverbot für den Bereich innerhalb 
des Mittleren Rings als „dichtbesiedeltes Gebiet“ erlassen: 
https://stadt.muenchen.de/dam/jcr:d2cc6286-69c9-4e19-8e91-
c3ba9a3218be/Allgemeinverfuegung_Verbot_Silvesterkracher_2023.pdf . 
Dort ist das Abbrennen von pyrotechnischen Gegenständen der Kategorie F2 mit ausschließlicher 
Knallwirkung (beispielsweise Silvesterknaller, Böller) verboten gewesen. 
 
Unstrittig gibt es in München auch außerhalb des Mittleren Rings dichtbesiedelte Gebiete. Eine 
Ausdehnung des Böllerverbots auf weitere Bereiche wurde jedoch im Jahr 2020 vom 
Kreisverwaltungsreferat abgelehnt, aus den unter Ziffer 3.10 des Referentenantrages zur 
Sitzungsvorlage Nr. 20-26 / V 00958 - „Feuerwerk im Stadtgebiet weiter einschränken“ aufgeführten 
Gründen. Die wesentlichen Gründe waren, dass ein stadtweites Verbot nach Ansicht des Referates 
gegen das Verhältnismäßigkeitsprinzip verstoßen würde, da es in München unzweifelhaft auch nicht 
dicht besiedelte Bereiche gäbe, und dass die präzise Darstellung des Grenzverlaufs der einzelnen 
Verbotszonen auf einer übersichtlichen Karte als Anlage zu einer entsprechenden 
Allgemeinverfügung aufgrund des Kartenmaßstabes nicht möglich wäre.1 
 
Daher wird mit heutigem Antrag nur eine Ausdehnung auf Bereiche mit mehr als dreistöckiger 
Bebauung gefordert, da es sich dabei typischerweise um dichtbesiedelte Gebiete mit 
Geschosswohnungsbau handelt, und nicht um aufgelockert bebaute Einfamilienhaussiedlungen. Für 
das Böllern sollen zudem möglichst die Gewerbe- und Industriegebiete aufgesucht werden, da der 
Lärm dort nicht die Wohnbevölkerung stört. Daher sollen diese vom Verbot ausgenommen werden. 
 
Das Referat für Stadtplanung und Bauordnung bietet über eine Unterseite von www.muenchen.de  
einen Link zum GeoPortal München an, einschließlich Anleitung, wie man sich auf der dortigen 
zoombaren Karte mit drei Klicks den Gültigkeitsbereich der Baumschutzverordnung sowie Lage und 
Grenzen der verstreuten Landschaftsschutzgebiete und geschützten Landschaftsbestandteile 
anzeigen lassen kann: https://stadt.muenchen.de/infos/baumschutz-muenchen.html .  
 
Ebenso könnte man im GeoPortal München die Böllerverbotsgebiete markieren und von der 
Unterseite des Kreisverwaltungsreferates https://stadt.muenchen.de/news/feuerwerksverbot.html 
dorthin verlinken, damit man sich diese Gebiete dort mit drei Klicks präzise anzeigen lassen kann. 
 
Tobias Ruff Nicola Holtmann  
Fraktionsvorsitzender, Stadtrat Umweltpolitische Sprecherin, Stadträtin 
 
Sonja Haider, Stadträtin Dirk Höpner, Stadtrat 
 
1 Sitzungsvorlage Nr. 20-26 / V 00958, S. 17 - 19, unter: https://risi.muenchen.de/risi/dokument/v/6308885 "
